epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.7690392136573792,0.9421111345291138,0.7881415486335754,0.20668110251426697
2,0.9192352890968323,0.9596666693687439,0.3227726221084595,0.14471277594566345
3,0.934137225151062,0.9678888916969299,0.26424261927604675,0.12056645005941391
4,0.9435882568359375,0.9714444279670715,0.22867871820926666,0.10765466094017029
5,0.9526274800300598,0.9748888611793518,0.19330208003520966,0.09436057507991791
6,0.956333339214325,0.9737777709960938,0.17858441174030304,0.09591953456401825
7,0.9609804153442383,0.9793333411216736,0.16299410164356232,0.0792773962020874
8,0.9629999995231628,0.9753333330154419,0.1523210108280182,0.09509981423616409
9,0.9652745127677917,0.9781110882759094,0.14331507682800293,0.08717185258865356
10,0.9668627381324768,0.9818888902664185,0.1348194032907486,0.06716711074113846
11,0.969529390335083,0.9827777743339539,0.12657177448272705,0.07479523867368698
12,0.9712156653404236,0.9817777872085571,0.11547873914241791,0.06865817308425903
13,0.9723333120346069,0.9822221994400024,0.11145337671041489,0.06963574141263962
14,0.9734509587287903,0.9825555682182312,0.10346966236829758,0.07115307450294495
15,0.9756470322608948,0.9852222204208374,0.09623882919549942,0.061639945954084396
16,0.9781568646430969,0.9831110835075378,0.0881892591714859,0.07073500007390976
17,0.9797843098640442,0.9860000014305115,0.08243304491043091,0.06468053162097931
18,0.980647087097168,0.984666645526886,0.07965332269668579,0.06403395533561707
19,0.9801372289657593,0.9845555424690247,0.07818721979856491,0.06115835905075073
20,0.9818627238273621,0.9858888983726501,0.07443761080503464,0.06286175549030304
21,0.9837843179702759,0.9850000143051147,0.06430381536483765,0.0644257664680481
22,0.9834313988685608,0.9852222204208374,0.06590114533901215,0.0641980692744255
23,0.9845490455627441,0.9869999885559082,0.0629599317908287,0.056663259863853455
24,0.9855294227600098,0.9853333234786987,0.05802660807967186,0.06541361659765244
25,0.9870392084121704,0.9861111044883728,0.05374659597873688,0.059317659586668015
